PolicyNo,ClaimNumber,Premium,InsuredLocation,Loss Ratio,Nearest Firestation miles,Number of Firefighters,Fireplace,Year Built
,,,,0.2,2,9,yes,1996
,,,,0.3,1,7,yes,1963
,,,,0.5,1,9,yes,2014
,,,,0.1,4,10,yes,1973
,,,,0.3,1,7,yes,1997
,,,,0.4,4,9,yes,1962
,,,,0.2,2,8,yes,2003
,,,,0.5,4,7,yes,1977
,,,,0.4,1,8,yes,2012
,,,,0.5,2,10,yes,1992
,,,,0.3,3,9,yes,2006
,,,,0.3,4,8,yes,1968
,,,,0.3,2,10,yes,2001
,,,,0.5,3,10,yes,1973
,,,,0.4,4,9,yes,2010
,,,,0.1,3,7,yes,1977
,,,,0.1,2,9,yes,2008
,,,,0.5,3,8,yes,1964
,,,,0.5,3,10,yes,2020
,,,,0.4,2,7,yes,1974
,,,,0.5,4,9,yes,2001
,,,,0.5,1,9,yes,1968
,,,,0.3,3,10,yes,2016
,,,,0.1,3,8,yes,1962
,,,,0.4,1,8,yes,2014
,,,,0.5,4,7,yes,1992
,,,,0.5,2,7,yes,2018
,,,,0.4,4,9,yes,1989
,,,,0.5,1,7,yes,2006
,,,,0.3,4,7,yes,1976
,,,,0.2,2,7,yes,2010
,,,,0.4,3,10,yes,1979
,,,,0.4,4,10,yes,2014
,,,,0.4,3,7,yes,1960
